,,,,,,
,Control,Blebb,Blebb Washout,,,
Actin Covered Area (AU),2155,3900,1930,,,
,2887,4774,1999,,,
,2414,3383,2314,,,
,2457,3240,2152,,,
,2459,3540,1589,,,
,2363,4001,2591,,,
,3223,4367,2131,,,
,2427,3275,2893,,,
,1774,5118,2091,,,
,2334,3132,1866,,,
,2544,3443,2482,,,
,2757,3762,1754,,,
,1975,4245,1943,,,
,2009,3348,2727,,,
,2416,3590,2200,,,
,2617,5196,1814,,,
,2459,4453,2928,,,
,2679,3597,1653,,,
,2003,4419,2450,,,
,2211,3480,3258,,,
,2807,2543,2999,,,
,4279,4154,1785,,,
,1736,3366,1971,,,
,2470,3699,2420,,,
,2347,4042,2613,,,
,3041,3763,,,,
,,3399,5113,,,
